council,recent,average,trend
Angus,0.470691140985866942433644,0.497752953635921007842591625,-0.064592852129451474089592
City of Edinburgh,0.372885245901639344262295,0.38425443737520433087749025,-0.024020223404131254557641
Argyll and Bute,0.55613262230466032923719,0.573182937716701036572762625,0.035487170825969223873421
South Lanarkshire,0.471663218606983888157482,0.48237822907865147838447725,-0.048292181201872435512477
Scottish Borders,0.455374338509586188947688,0.454523520935601460076327,-0.017245963562770677929727
Highland,0.542922645835102318077609,0.549548089568623873161511875,0.003868806622280593332196
Orkney Islands,0.460612888688598467778279,0.470190287581728018161481625,-0.018145281246042055097538
Scotland,0.44229528695684154392159,0.461635179822042016878530375,-0.049555313997893451078316
East Dunbartonshire,0.476719283670266777439306,0.511910736505218328466047125,-0.085166430615447508274980
Clackmannanshire,0.508210116731517509727626,0.533002939411932688795978625,-0.085925805598579577651015
Dundee City,0.40855798319327731092437,0.44217890463213453189780425,-0.055898538545853123858239
North Ayrshire,0.454028681253696037847428,0.467315227701191522434501125,-0.040663186368868955997166
West Dunbartonshire,0.469729608437114327386963,0.462166493485965224433280875,0.015386820665345206980827
Na h-Eileanan Siar,0.533917256802087215803205,0.527325774869515626644776125,-0.062290760532690682354975
Moray,0.497508375209380234505863,0.529241791334159514506992875,-0.062393197487741836746945
Renfrewshire,0.457027954328139940379099,0.467450090803786526250638375,-0.015616579157836018407392
Aberdeenshire,0.46092859601483917849084,0.509379682434369154601149625,-0.122757585731661905680262
West Lothian,0.407345997584275831777753,0.41087311371200999961243275,-0.020355086271970602905647
East Renfrewshire,0.461563517915309446254072,0.492373234778840765744668375,-0.036079913424851328990945
East Ayrshire,0.436211424819435325016415,0.46656887367168062551867275,-0.061685714311708207463820
Aberdeen City,0.375900861311302513622781,0.411854971139424222205203,-0.060959697890351716351147
Dumfries and Galloway,0.533133947173869211640567,0.517464668954514601920556625,-0.005932164707776650587820
Shetland Islands,0.419704219225750326228795,0.44443595899002155176923975,-0.087696813476487195285835
Midlothian,0.458616159404423034814977,0.484314156174464927346487,-0.066836207282215670996886
Falkirk,0.427659972558313583634776,0.463887771914832317622769625,-0.072672827441686416365224
East Lothian,0.473901124870025522261083,0.49911582824953486857742025,-0.058154519645586967730911
Stirling,0.444450333934061274249973,0.45559782462782308543652425,-0.042918203650351434706077
South Ayrshire,0.495904042647712127943136,0.50113535868493567202012225,-0.021718545420972595016680
Inverclyde,0.358630838131797824696097,0.373409119622907143892638625,-0.059209595258992621006932
Fife,0.449982522653330106746256,0.513841825885514661537306625,-0.137348438200762419944135
Perth and Kinross,0.474684380990151364928283,0.507261240791474266306237125,-0.069530804573348805313460
North Lanarkshire,0.429698982891410429772473,0.457329635901437797113742625,-0.044794680498379929104703
Glasgow City,0.391625293338228955476445,0.380567787253340159815594125,-0.031112709561983501947762
