council,year,tonnagePerCitizen,councilCode
Clackmannanshire,2018,0.508210116731517509727626,S12000005
Dumfries and Galloway,2018,0.533133947173869211640567,S12000006
East Ayrshire,2018,0.436211424819435325016415,S12000008
East Lothian,2018,0.473901124870025522261083,S12000010
East Renfrewshire,2018,0.461563517915309446254072,S12000011
Na h-Eileanan Siar,2018,0.533917256802087215803205,S12000013
Falkirk,2018,0.427659972558313583634776,S12000014
Highland,2018,0.542922645835102318077609,S12000017
Inverclyde,2018,0.358630838131797824696097,S12000018
Midlothian,2018,0.458616159404423034814977,S12000019
Moray,2018,0.497508375209380234505863,S12000020
North Ayrshire,2018,0.454028681253696037847428,S12000021
Orkney Islands,2018,0.460612888688598467778279,S12000023
Scottish Borders,2018,0.455374338509586188947688,S12000026
Shetland Islands,2018,0.419704219225750326228795,S12000027
South Ayrshire,2018,0.495904042647712127943136,S12000028
South Lanarkshire,2018,0.471663218606983888157482,S12000029
Stirling,2018,0.444450333934061274249973,S12000030
Aberdeen City,2018,0.375900861311302513622781,S12000033
Aberdeenshire,2018,0.46092859601483917849084,S12000034
Argyll and Bute,2018,0.55613262230466032923719,S12000035
City of Edinburgh,2018,0.372885245901639344262295,S12000036
Renfrewshire,2018,0.457027954328139940379099,S12000038
West Dunbartonshire,2018,0.469729608437114327386963,S12000039
West Lothian,2018,0.407345997584275831777753,S12000040
Angus,2018,0.470691140985866942433644,S12000041
Dundee City,2018,0.40855798319327731092437,S12000042
East Dunbartonshire,2018,0.476719283670266777439306,S12000045
Fife,2018,0.449982522653330106746256,S12000047
Perth and Kinross,2018,0.474684380990151364928283,S12000048
Glasgow City,2018,0.391625293338228955476445,S12000049
North Lanarkshire,2018,0.429698982891410429772473,S12000050
Scotland,2018,0.44229528695684154392159,S92000003
