qid,P5991,qal585,qal459,qal828,qal828,S854,#
Q211113,134667.13U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Scottish Borders council area's 2017 CO2e amount"""
Q126514,227001.47U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Dumfries and Galloway council area's 2018 CO2e amount"""
Q2379199,492831.56U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set City of Edinburgh council area's 2018 CO2e amount"""
Q207257,110685.64U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set East Lothian council area's 2018 CO2e amount"""
Q216802,149869.8U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Falkirk council area's 2017 CO2e amount"""
Q209142,361237.96U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set South Lanarkshire council area's 2018 CO2e amount"""
Q211113,134139.86U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Scottish Borders council area's 2018 CO2e amount"""
Q211106,91661.48U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Moray council area's 2018 CO2e amount"""
Q202174,127000.14U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Argyll and Bute council area's 2017 CO2e amount"""
Q47134,31975.2U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Shetland Islands council area's 2017 CO2e amount"""
Q209131,126083.62U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set South Ayrshire council area's 2017 CO2e amount"""
Q201149,339866.83U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Fife council area's 2018 CO2e amount"""
Q80967,38652.3U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Outer Hebrides council area's 2017 CO2e amount"""
Q202177,112134.41U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Angus council area's 2018 CO2e amount"""
Q208279,321198.11U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Highland council area's 2017 CO2e amount"""
Q100166,29072.83U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Orkney Islands council area's 2017 CO2e amount"""
Q55934339,733950.37U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Glasgow City council area's 2018 CO2e amount"""
Q211925,95975.6U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set East Renfrewshire council area's 2017 CO2e amount"""
Q208271,57553.87U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Inverclyde council area's 2018 CO2e amount"""
Q62274582,198518.12U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Aberdeen City council area's 2018 CO2e amount"""
Q211091,195536.05U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Renfrewshire council area's 2017 CO2e amount"""
Q202177,115899.85U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Angus council area's 2017 CO2e amount"""
Q2379199,507553.12U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set City of Edinburgh council area's 2017 CO2e amount"""
Q207111,353976.81U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set North Lanarkshire council area's 2018 CO2e amount"""
Q204940,152069.47U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set West Lothian council area's 2018 CO2e amount"""
Q62274582,198579.67U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Aberdeen City council area's 2017 CO2e amount"""
Q211925,89067.54U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set East Renfrewshire council area's 2018 CO2e amount"""
Q209142,370821.4U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set South Lanarkshire council area's 2017 CO2e amount"""
Q204940,145934.84U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set West Lothian council area's 2017 CO2e amount"""
Q2357511,154653.39U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Dundee City council area's 2017 CO2e amount"""
Q211106,97535.97U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Moray council area's 2017 CO2e amount"""
Q201149,349262.91U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Fife council area's 2017 CO2e amount"""
Q206934,91869.83U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Midlothian council area's 2018 CO2e amount"""
Q100166,27127.63U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Orkney Islands council area's 2018 CO2e amount"""
Q208279,317213.88U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Highland council area's 2018 CO2e amount"""
Q211889,111395.06U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set East Dunbartonshire council area's 2018 CO2e amount"""
Q47134,31049.37U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Shetland Islands council area's 2018 CO2e amount"""
Q206934,98306.32U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Midlothian council area's 2017 CO2e amount"""
Q126514,220021.95U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Dumfries and Galloway council area's 2017 CO2e amount"""
Q209131,124771.51U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set South Ayrshire council area's 2018 CO2e amount"""
Q207111,406736.57U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set North Lanarkshire council area's 2017 CO2e amount"""
Q2357511,148298.68U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Dundee City council area's 2018 CO2e amount"""
Q207679,141123.72U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Perth and Kinross council area's 2017 CO2e amount"""
Q189912,325282.92U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Aberdeenshire council area's 2017 CO2e amount"""
Q55934339,680071.26U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Glasgow City council area's 2017 CO2e amount"""
Q202174,119149.28U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Argyll and Bute council area's 2018 CO2e amount"""
