qid,P1082,qal585,qal459,S854,#
Q208279,220780,+2006-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Highland council area's 2006 population"""
Q209131,111550,+2003-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set South Ayrshire council area's 2003 population"""
Q211106,91440,+2007-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Moray council area's 2007 population"""
Q55934339,621020,+2017-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Glasgow City council area's 2017 population"""
Q207111,339390,+2016-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set North Lanarkshire council area's 2016 population"""
Q207111,325400,+2004-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set North Lanarkshire council area's 2004 population"""
Q208121,91370,+2007-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set West Dunbartonshire council area's 2007 population"""
Q201149,357260,+2006-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Fife council area's 2006 population"""
Q2357511,145460,+2001-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Dundee City council area's 2001 population"""
Q207111,337720,+2011-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set North Lanarkshire council area's 2011 population"""
Q211106,90100,+2005-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Moray council area's 2005 population"""
Q217838,87510,+2005-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Stirling council area's 2005 population"""
Q62274582,214020,+2008-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Aberdeen City council area's 2008 population"""
Q2379199,447500,+2002-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set City of Edinburgh council area's 2002 population"""
Q209135,122730,+2012-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Ayrshire council area's 2012 population"""
Q217838,86920,+2004-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Stirling council area's 2004 population"""
