Local Authority	Waste type	Generated	Generated	Generated	Generated	Generated	Generated	Generated	Generated	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled
Local Authority	Waste type	2011	2012	2013	2014	2015	2016	2017	2018	2011	2012	2013	2014	2015	2016	2017	2018	2011	2012	2013	2014	2015	2016	2017	2018	2011	2012	2013	2014	2015	2016	2017	2018	2011	2012	2013	2014	2015	2016	2017	2018	2011	2012	2013	2014	2015	2016	2017	2018	2011	2012	2013	2014	2015	2016	2017	2018	2011	2012	2013	2014	2015	2016	2017	2018	2011	2012	2013	2014	2015	2016	2017	2018
Aberdeen City	Animal and mixed food waste	9595.52	5782.13	3089.23	3679.74	3831.17	4343.01	4111.33	4709.65	0	0							0	0			0.46	1.73	13.12	8.35	3198.51	3082.87	3097.92	3669.61	3798.82	4241.95	4098.21	4701.3	0	0							0	0							0	0							0	0							0	0		10.12	31.89	99.33		
Aberdeen City	Batteries and accumulators wastes	11.73	8.85	4.14	16.15	16.14	32.85	8.98	25.97	0	0							11.73	8.85	4.14	16.15	16.14	32.85	8.98	25.97	0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeen City	Chemical wastes	0	0					507.58	476.56	0	0					3.65		0	0					503.93	476.56	0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeen City	Combustion wastes	0	0					0	0	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0	0	71.49	101.69	90.5	4397.85	6877.49
Aberdeen City	Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)	1420.32	1356.92	833.84	1169.52	1132.83	1430.69	1363.62	1330.83	0	0							1420.32	1357.81	836.36	1170.91	1054.47	1389.23	915.82	1348.49	0	0							0	0							0	0							0	0							0	0							0	0			78.67	41.46	22.39	
Aberdeen City	Discarded vehicles	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeen City	Glass wastes	4224.89	4276.79	4095.94	3259.37	1114.4	972.13	0	0	0	0							4224.89	4300.35	4150.32	3790.27	3760.12	3611.88	3735.08	4184.77	0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeen City	Health care and biological wastes	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeen City	Household and similar wastes	63875.09	62389.68	60577.8	59777.76	58061.2	57374.84	44343.37	44268.74	0	0			9.93	13.65	0	133.04	0	0	0	0	0	0	0		0	0	0	0	0		0		0	0					13968.48	22967.87	0	12.02	24.39	13.74	30	39.38	56.52		0	0							0	0	84.68	179.13	0		3236.77	36.17	62521.93	60988.28	58990.36	58896	57766.16	57313.25	26812.12	10727.88
