council,year,type,process,tonnage
Aberdeen City,2011,Animal and mixed food waste,Generated,9595.52
Aberdeen City,2011,Animal and mixed food waste,Prepared for reuse,0
Aberdeen City,2011,Animal and mixed food waste,Recycled,0
Aberdeen City,2011,Animal and mixed food waste,Organics recycled,3198.51
Aberdeen City,2011,Animal and mixed food waste,Recovered by incineration,0
Aberdeen City,2011,Animal and mixed food waste,Recovered by co-incineration,0
Aberdeen City,2011,Animal and mixed food waste,Managed by other methods,0
Aberdeen City,2011,Animal and mixed food waste,Disposed by incineration,0
Aberdeen City,2011,Animal and mixed food waste,Landfilled,0
Aberdeen City,2011,Batteries and accumulators wastes,Generated,11.73
Aberdeen City,2011,Batteries and accumulators wastes,Prepared for reuse,0
Aberdeen City,2011,Batteries and accumulators wastes,Recycled,11.73
Aberdeen City,2011,Batteries and accumulators wastes,Organics recycled,0
Aberdeen City,2011,Batteries and accumulators wastes,Recovered by incineration,0
Aberdeen City,2011,Batteries and accumulators wastes,Recovered by co-incineration,0
Aberdeen City,2011,Batteries and accumulators wastes,Managed by other methods,0
Aberdeen City,2011,Batteries and accumulators wastes,Disposed by incineration,0
Aberdeen City,2011,Batteries and accumulators wastes,Landfilled,0
Aberdeen City,2011,Chemical wastes,Generated,0
Aberdeen City,2011,Chemical wastes,Prepared for reuse,0
Aberdeen City,2011,Chemical wastes,Recycled,0
Aberdeen City,2011,Chemical wastes,Organics recycled,0
Aberdeen City,2011,Chemical wastes,Recovered by incineration,0
Aberdeen City,2011,Chemical wastes,Recovered by co-incineration,0
Aberdeen City,2011,Chemical wastes,Managed by other methods,0
Aberdeen City,2011,Chemical wastes,Disposed by incineration,0
Aberdeen City,2011,Chemical wastes,Landfilled,0
Aberdeen City,2011,Combustion wastes,Generated,0
Aberdeen City,2011,Combustion wastes,Prepared for reuse,0
Aberdeen City,2011,Combustion wastes,Recycled,0
Aberdeen City,2011,Combustion wastes,Organics recycled,0
Aberdeen City,2011,Combustion wastes,Recovered by incineration,0
Aberdeen City,2011,Combustion wastes,Recovered by co-incineration,0
Aberdeen City,2011,Combustion wastes,Managed by other methods,0
Aberdeen City,2011,Combustion wastes,Disposed by incineration,0
Aberdeen City,2011,Combustion wastes,Landfilled,0
Aberdeen City,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Generated,1420.32
Aberdeen City,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Prepared for reuse,0
Aberdeen City,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,1420.32
Aberdeen City,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Organics recycled,0
Aberdeen City,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recovered by incineration,0
Aberdeen City,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recovered by co-incineration,0
Aberdeen City,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Managed by other methods,0
Aberdeen City,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Disposed by incineration,0
Aberdeen City,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Aberdeen City,2011,Discarded vehicles,Generated,0
Aberdeen City,2011,Discarded vehicles,Prepared for reuse,0
Aberdeen City,2011,Discarded vehicles,Recycled,0
Aberdeen City,2011,Discarded vehicles,Organics recycled,0
Aberdeen City,2011,Discarded vehicles,Recovered by incineration,0
Aberdeen City,2011,Discarded vehicles,Recovered by co-incineration,0
Aberdeen City,2011,Discarded vehicles,Managed by other methods,0
Aberdeen City,2011,Discarded vehicles,Disposed by incineration,0
Aberdeen City,2011,Discarded vehicles,Landfilled,0
Aberdeen City,2011,Glass wastes,Generated,4224.89
Aberdeen City,2011,Glass wastes,Prepared for reuse,0
Aberdeen City,2011,Glass wastes,Recycled,4224.89
Aberdeen City,2011,Glass wastes,Organics recycled,0
Aberdeen City,2011,Glass wastes,Recovered by incineration,0
Aberdeen City,2011,Glass wastes,Recovered by co-incineration,0
Aberdeen City,2011,Glass wastes,Managed by other methods,0
Aberdeen City,2011,Glass wastes,Disposed by incineration,0
Aberdeen City,2011,Glass wastes,Landfilled,0
Aberdeen City,2011,Health care and biological wastes,Generated,0
Aberdeen City,2011,Health care and biological wastes,Prepared for reuse,0
Aberdeen City,2011,Health care and biological wastes,Recycled,0
Aberdeen City,2011,Health care and biological wastes,Organics recycled,0
Aberdeen City,2011,Health care and biological wastes,Recovered by incineration,0
Aberdeen City,2011,Health care and biological wastes,Recovered by co-incineration,0
Aberdeen City,2011,Health care and biological wastes,Managed by other methods,0
