"route","day","tonnes"
"608 Route 8A (NEW)","2018-12-23",1.92
"608 Route 8A (NEW)","2019-01-15",6.6
"609 Route 9A (NEW)","2019-01-19",1.74
"601 Route 1A (NEW)","2018-11-13",2.28
"608 Route 8A (NEW)","2018-11-16",0.38
"603 Route 3A (NEW)","2018-11-26",1.78
"604 Route 4A (NEW)","2019-01-24",1.78
"603 Route 3A (NEW)","2018-12-06",3.34
"604 Route 4A (NEW)","2019-02-01",3.8
"501 Route 1 (NEW)","2018-12-04",3.14
"503 Route 3 (NEW)","2018-12-06",4.48
"502 Route 2 (NEW)","2018-12-07",4.2
"502 Route 2 (NEW)","2018-12-21",3.56
"503 Route 3 (NEW)","2018-12-22",5.34
"508 Route 8 (NEW)","2018-12-23",1.44
"509 Route 9 (NEW)","2019-01-18",1.26
"508 Route 8 (NEW)","2019-01-19",0.6
"502 Route 2 (NEW)","2019-02-06",19.6
"503 Route 3 (NEW)","2019-02-08",19.78
"189 Missed Bins","2019-02-12",0.1
"504 Route 4 (NEW )","2019-03-05",11.9
"509 Route 9 (NEW)","2019-03-22",3.94
"509 Route 9 (NEW)","2019-03-24",1.46
"501 Route 1 (NEW)","2019-04-05",31.84
"503 Route 3 (NEW)","2019-04-16",18.36
"502 Route 2 (NEW)","2019-04-19",21.1
"508 Route 8 (NEW)","2019-04-20",2.68
"602 Route 2A (NEW)","2019-02-11",8.58
"189 Missed Bins","2019-04-05",0.36
"604 Route 4A (NEW)","2019-04-15",4.84
"608 Route 8A (NEW)","2019-02-05",1.02
"608 Route 8A (NEW)","2019-02-07",1.16
"601 Route 1A (NEW)","2019-02-11",1.2
"604 Route 4A (NEW)","2019-03-06",2.72
"602 Route 2A (NEW)","2019-03-07",3.26
"603 Route 3A (NEW)","2019-03-07",1.92
"602 Route 2A (NEW)","2019-03-10",1.9
"604 Route 4A (NEW)","2019-04-18",2.48
"605 Route 5A (NEW)","2019-02-03",2.14
"605 Route 5A (NEW)","2019-02-25",5.48
"604 Route 4A (NEW)","2019-02-28",5.52
"608 Route 8A (NEW)","2019-03-28",1.9
"505 Route 5 (NEW)","2019-02-03",4.36
"501 Route 1 (NEW)","2019-04-11",13.1
"508 Route 8 (NEW)","2019-04-12",4.9
"504 Route 4 (NEW )","2019-04-22",19.46
"509 Route 9 (NEW)","2019-05-07",0.34
"505 Route 5 (NEW)","2019-05-08",9.54
"504 Route 4 (NEW )","2019-05-17",11.22
"508 Route 8 (NEW)","2019-06-02",3.28
"505 Route 5 (NEW)","2019-06-10",5.9
"189 Missed Bins","2019-06-15",0.36
"501 Route 1 (NEW)","2019-07-08",23.88
"601 Route 1A (NEW)","2019-05-11",6.04
"608 Route 8A (NEW)","2019-07-06",0.76
"603 Route 3A (NEW)","2019-07-07",4.68
"605 Route 5A (NEW)","2019-05-05",1.32
"603 Route 3A (NEW)","2019-05-15",2.1
"605 Route 5A (NEW)","2019-04-26",4.7
"601 Route 1A (NEW)","2019-05-21",4.86
"604 Route 4A (NEW)","2019-05-24",4.24
"603 Route 3A (NEW)","2019-06-22",3.06
"501 Route 1 (NEW)","2019-04-23",18.24
"505 Route 5 (NEW)","2019-04-23",8.1
"502 Route 2 (NEW)","2019-05-07",17.54
"501 Route 1 (NEW)","2019-05-20",17.3
"501 Route 1 (NEW)","2019-07-05",13.26
"508 Route 8 (NEW)","2019-07-07",2.74
"503 Route 3 (NEW)","2019-08-05",11.64
"505 Route 5 (NEW)","2019-08-06",3.76
"503 Route 3 (NEW)","2019-08-07",13.96
"502 Route 2 (NEW)","2019-08-23",17.2
"505 Route 5 (NEW)","2019-08-24",16.24
"189 Missed Bins","2019-08-27",0.66
